title,timestamp_first,timestamp_end,def_first,def_end,label,comment
Baymina Ankara power station,2021-09-04T19:07:41Z,2021-09-20T22:39:22Z,Baymina Ankara power station (Turkish: Hamitabat Doğal Gaz Kombine Çevrim Santrali) is a gas-fired power station in Ankara Province central Turkey.,Baymina Ankara power station (Turkish: Hamitabat Doğal Gaz Kombine Çevrim Santrali) is a gas-fired power station in Ankara Province central Turkey.,0,
Pam Hupp,2021-09-08T02:57:55Z,2021-09-21T12:28:11Z,"Pamela Marie Hupp (née Neumann; born October 10, 1958) is an American woman who in 2016 murdered Louis Gumpenberger, a crime for which she is serving a life sentence.","Pamela Marie Hupp is an American woman who in 2016 murdered Louis Gumpenberger, for which she is serving a life sentence.",0,
Jonathan Augustinsson,2021-09-07T12:11:34Z,2021-09-26T16:40:07Z,Hans Oskar Jonathan Augustinsson (born 30 March 1996) is a Swedish professional footballer who plays for Rosenborg as a left-back.,Hans Oskar Jonathan Augustinsson (born 30 March 1996) is a Swedish professional footballer who plays for Rosenborg as a left-back.,0,
Deutsche Bank Center,2021-09-03T00:25:03Z,2021-10-01T14:28:52Z,"The Deutsche Bank Center (also One Columbus Circle and formerly Time Warner Center) is a mixed-use building complex on Columbus Circle in Manhattan, New York City.","Deutsche Bank Center (also One Columbus Circle and formerly Time Warner Center) is a mixed-use building on Columbus Circle in Manhattan, New York City.",0,
Amos Tamam,2021-09-06T12:37:01Z,2021-10-01T22:26:04Z,Amos Tamam is the Israeli actor.,Amos Tamam is an Israeli actor.,0,
Matheus Alexandre,2021-09-25T03:11:13Z,2021-09-25T15:37:12Z,"Matheus Alexandre Anastácio de Souza (born 7 April 1999), known as Matheus Alexandre is a Brazilian footballer who plays for Coritiba, on loan of Corinthians, as a right back.","Matheus Alexandre Anastácio de Souza is a Brazilian footballer who plays for Coritiba, on loan of Corinthians, as a right back, and can also play as a defensive midfielder and a centre-back.",1,
Bjørnar Skjæran,2021-09-04T12:04:33Z,2021-09-25T00:39:44Z,Bjørnar Selnes Skjæran is a Norwegian politician from the Labour Party who is currently serving as the party's deputy leader since 2019 and previously served as mayor of Lurøy from 2011 to 2015.,Bjørnar Selnes Skjæran is a Norwegian politician from the Labour Party who is currently serving as the party's deputy leader since 2019 and previously served as mayor of Lurøy from 2011 to 2015.,0,
Dracophyllum densum,2021-09-19T05:14:38Z,2021-09-24T12:16:49Z,Dracophyllum densum is a species of shrub endemic to north-west Nelson in New Zealand's South Island.,Dracophyllum densum is a species of shrub endemic to north-west Nelson in New Zealand's South Island.,0,
Barbados Joe Walcott,2021-09-03T10:05:05Z,2021-09-19T00:08:48Z,"Joe Walcott was a Bajan born professional boxer who reigned as the World Welterweight Champion from 1901-1906, becoming the first black man ever to capture the title.",Joe Walcott was a formidable fighter with exceptional power to his punch.,0,
NGC 839,2021-09-08T03:21:34Z,2021-09-13T19:54:56Z,NGC 839 is a S0-a type galaxy located in the constellation Cetus.,NGC 839 is a lenticular galaxy located in the constellation Cetus.,0,
Arlet Levandi,2021-09-30T19:51:13Z,2021-10-01T03:44:17Z,Arlet Levandi is an Estonian figure skater.,"Arlet Levandi is an Estonian figure skater who is the 2021 Estonian national silver medalist, the 2021 JGP France II silver medalist, the 2021 JGP Slovenia silver medalist, and a 2020 Winter Youth Olympic champion in the team event.",1,
Maria Gowen Brooks,2021-09-02T02:59:06Z,2021-09-02T04:14:24Z,"Maria Gowen Brooks (pen name, A Lover of Fine Arts and Maria Del Occidente; 1794 – November 11, 1845) was an American poet.","Maria Gowen Brooks (pen name, A Lover of Fine Arts and Maria Del Occidente; 1794 – November 11, 1845) was an American poet.",0,
Zhang (surname),2021-09-09T17:24:50Z,2021-10-01T18:49:43Z,"Zhang ( (listen)) is the third most common surname in China and Taiwan, and it is one of the most common surnames in the world.",Zhang is the pinyin romanization of the very common Chinese surname written 张 in simplified characters and 張 in traditional characters.,0,
Isabel Cruz,2021-09-21T05:32:55Z,2021-09-30T15:27:42Z,Prof. Isabel F. Cruz (birthdate – 2021) was a distinguished professor.,"Isabel Cruz (aka Isabel F. Cruz, Maria Isabel Cruz) (died 2021) was an American Portuguese computer scientist known for her research on databases, knowledge representation, geographic information systems, AI, visual languages, graph drawing, user interfaces, multimedia, information retrieval, and security.",1,
Toyota Corolla Cross,2021-09-04T08:34:33Z,2021-09-30T18:03:46Z,The Toyota Corolla Cross is a compact crossover SUV produced by the Japanese automaker Toyota using the Corolla nameplate.,The Toyota Corolla Cross is a compact crossover SUV produced by the Japanese automaker Toyota.,0,
Rosa 'John Cabot',2021-09-28T15:57:14Z,2021-09-28T21:30:25Z,"Rosa 'John Cabot' is a dark pink Hybrid Kordesii, shrub rose, bred by Canadian rose breeder, Felicitas Svejda in 1969.","Rosa 'John Cabot' is a dark pink Hybrid Kordesii, shrub rose, bred by Canadian rose breeder, Felicitas Svejda in 1969.",0,
Shabba Doo,2021-09-06T23:06:45Z,2021-09-23T04:45:22Z,"Adolfo Gutierrez Quiñones, known professionally as Shabba Doo, was an American actor, dancer, and choreographer of African American and Puerto Rican descent.","Adolfo Gutierrez Quiñones, known professionally as Shabba Doo, was an American actor, dancer, and choreographer of African American and Puerto Rican descent.",0,
Certified Lover Boy,2021-09-01T05:47:37Z,2021-09-25T20:20:01Z,"Certified Boy Lover is the upcoming sixth studio album by Canadian rapper Drake, set to be released on September 3, 2021 through OVO Sound and Republic Records.","Certified Lover Boy is the sixth studio album by Canadian rapper Drake, released on September 3, 2021, by OVO Sound and Republic Records.",0,
British Columbia Highway 91A,2021-09-17T17:16:03Z,2021-09-29T05:48:59Z,"Highway 91A is a 3 km (2 mi) long spur off Highway 91 that crosses the Queensborough Bridge and terminates at Marine Way, allowing traffic into New Westminster.","Highway 91A, or the Queensborough Connector, is a 3 km (2 mi) long spur off Highway 91.",0,
Dracophyllum acerosum,2021-09-19T05:27:02Z,2021-09-20T03:23:11Z,Dracophyllum acerosum is a species of shrub or small tree endemic to New Zealand's South Island.,Dracophyllum acerosum is a species of shrub or small tree endemic to New Zealand's South Island.,0,
Scania,2021-09-04T14:40:27Z,2021-09-04T14:40:38Z,"Scania, also known by its native name of Skåne (Swedish: (listen), Danish: ), is the southernmost of the historical provinces (landskap) of Sweden.","Scania, also known by its native name of Skåne (Swedish: (listen), Danish: ), is the southernmost of the historical provinces (landskap) of Sweden. The former province is roughly conterminous with Skåne County, created in 1997.",0,
Asunción,2021-09-27T03:12:56Z,2021-09-30T10:13:28Z,"Asunción (UK: /əˌsʊnsiˈɒn/, US: /ɑːˌsuːnsiˈoʊn, ɑːsuːnˈsjoʊn/, Spanish: ) is the capital and the largest city of Paraguay in South America.","Asunción (UK: /əˌsʊnsiˈɒn/, US: /ɑːˌsuːnsiˈoʊn, ɑːsuːnˈsjoʊn/, Spanish: ) is the capital and the largest city of Paraguay in South America.",0,
The Eyeopener,2021-09-29T06:24:51Z,2021-09-29T06:34:11Z,"The Eyeopener is one of two weekly student newspapers at Ryerson University in Toronto with a circulation of 10,000 copies per week during the school year and is published by Rye Eye Publishing Inc., owned by the students of Ryerson as a non-profit corporation.","The Eyeopener is one of two weekly student newspapers at Ryerson University in Toronto with a circulation of 10,000 copies per week during the school year.",0,
Carolina Portesi Peroni,2021-09-16T03:13:57Z,2021-10-01T17:36:55Z,Carolina Portesi Peroni is a Italian ice dancer who is a two-time Italian junior national champion (2020–21) and competed in the final segment at the 2020 World Junior Championships.,Carolina Portesi Peroni is an Italian ice dancer who is a two-time Italian junior national champion (2020–21) and competed in the final segment at the 2020 World Junior Championships.,0,
Taito Phillip Field,2021-09-22T23:05:25Z,2021-10-01T23:21:28Z,Taito Phillip Hans Field was a Samoan-born New Zealand politician who was a Member of Parliament for South Auckland electorates from 1993 to 2008 and a minister outside Cabinet in a Labour-led government from 2003 to 2005.,"Taito Phillip Hans Field was a Samoan-born New Zealand politician, the first New Zealand MP of Pacific Island descent, and a Member of Parliament (MP) for South Auckland electorates from 1993 to 2008.",0,
Queen Dangyeong,2021-09-01T10:12:04Z,2021-09-26T18:50:19Z,"Queen Dangyeong was Queen consort of Joseon for seven days in September 1506, after which she was known as Deposed Queen Shin.",Queen Dangyeong was Queen consort of Joseon for seven days in September 1506 and was later known as Deposed Queen Sin.,0,
Mario Chalmers,2021-09-08T20:22:48Z,2021-09-30T22:17:42Z,"Almario Vernard ""Mario"" Chalmers is an American professional basketball player who was selected as the 34th overall pick in the 2008 NBA draft by the Minnesota Timberwolves after playing three seasons of college basketball for the University of Kansas.",Mario Chalmers is an American professional basketball player for Indios de Mayagüez of the Baloncesto Superior Nacional (BSN) who was selected as the 34th overall pick in the 2008 NBA draft by the Minnesota Timberwolves.,0,
Minna Arve,2021-09-07T18:24:11Z,2021-09-09T14:03:29Z,Minna Arve (born 1974) is a Finnish politician and serves as the mayor of Turku.,Minna Arve (born 1974) is a Finnish politician who serves as the mayor of Turku and represents the National Coalition Party.,1,
František Tůma,2021-09-20T09:14:55Z,2021-09-20T09:15:18Z,František Ignác Antonín Tůma was a Czech composer of the Baroque era.,František Ignác Antonín Tůma was a Czech composer of the Baroque era.,0,
Order of Prohibited Legitimacy,2021-09-03T16:37:43Z,2021-09-03T20:46:48Z,"The Order of Prohibited Legitimacy (Italian: Ordine di Vietata Legittimità/Spanish: Orden de la Legitimidad Proscrita) is a Parmese dynastic order of knighthood originally awarded by the House of Bourbon-Parma, to Carlist supporters.","The Order of Prohibited Legitimacy (Italian: Ordine di Vietata Legittimità/Spanish: Orden de la Legitimidad Proscrita) is a Parmese dynastic order of knighthood originally awarded by the House of Bourbon-Parma, to Carlist supporters.",0,
Othniel Looker,2021-09-17T11:09:04Z,2021-09-17T14:41:56Z,Othniel Looker was a Democratic-Republican politician from Ohio who served briefly as the fifth Governor of Ohio.,"Othniel Looker (October 4, 1757 – July 23, 1845) was a Democratic-Republican Party politician from Ohio and served briefly as the fifth governor of Ohio.",0,
2019 Canadian federal election,2021-09-02T04:42:57Z,2021-09-29T16:50:13Z,"The 2019 Canadian federal election was held on October 21, 2019, members of the House of Commons were elected to the 43rd Canadian Parliament.","The 2019 Canadian federal election (formally the 43rd Canadian general election) was held on October 21, 2019, members of the House of Commons were elected to the 43rd Canadian Parliament.",0,
Daikichi Irokawa,2021-09-09T06:20:10Z,2021-09-12T20:38:29Z,Daikichi Irokawa was a Japanese historian.,Daikichi Irokawa was a Japanese historian who studied at the University of Tokyo and sought to end differences in understanding of Japanese history within the country and internationally.,1,
Ewan McGregor,2021-09-09T20:59:08Z,2021-10-01T07:28:10Z,Ewan Gordon McGregor OBE (/ˈjuːən/ YOO-ən; born 31 March 1971) is a Scottish-American actor who has starred in numerous film and musical roles.,Ewan Gordon McGregor OBE (/ˈjuːən/ YOO-ən; born 31 March 1971) is a Scottish actor who has starred in numerous film and musical roles.,0,
Gallus Anonymus,2021-09-04T17:02:41Z,2021-09-04T17:03:35Z,Gallus Anonymus is generally regarded as the first historian to have described the history of Poland.,Gallus Anonymus is generally regarded as the first historian to have described the history of Poland.,0,
Jáchym Šíp,2021-09-02T16:20:28Z,2021-09-02T17:06:41Z,Jáchym Šíp is a Czech footballer who plays as a winger for SK Sigma Olomouc.,Jáchym Šíp (born 22 January 2003) is a Czech footballer who plays as a winger for Sigma Olomouc.,0,
Dead of Night,2021-09-06T07:27:49Z,2021-09-06T14:33:54Z,"Dead of Night is a 1945 black and white British anthology horror film, made by Ealing Studios.","Dead of Night is a 1945 black and white British anthology horror film, made by Ealing Studios.",0,
Paul Stanhope,2021-10-01T15:44:08Z,2021-10-01T15:48:50Z,"Paul Stanhope (born 1969 in Wollongong, Australia) is an acclaimed Australian composer, conductor and music educator, known for his choral and instrumental music.","Paul Stanhope (born 1969 in Wollongong, Australia) is an acclaimed Australian composer, conductor and music educator, known for his choral and instrumental music.",0,
Evis Kushi,2021-09-19T16:10:35Z,2021-09-21T03:20:54Z,"Evis Kushi is an Albanian politician serving as 52nd Minister of Education, Sports and Youth since September 2020.","Evis Kushi is an Albanian politician serving as the 52nd Minister of Education, Sports and Youth since September 2020.",0,
Jean-Baptiste Meyer,2021-09-15T19:17:11Z,2021-09-15T19:21:26Z,Emmanuel Guevara was a Luxembourgian footballer who played in nine matches for the Luxembourg national football team from 1923 to 1928 and was part of Luxembourg's squad for the football tournament at the 1928 Summer Olympics.,Jean-Baptiste Meyer was a Luxembourgian footballer who played in nine matches for the Luxembourg national football team from 1923 to 1928 and was part of Luxembourg's squad for the football tournament at the 1928 Summer Olympics.,0,
FIFA 22,2021-09-21T22:24:51Z,2021-10-01T14:11:36Z,FIFA 22 is an upcoming football simulation video game published by Electronic Arts as part of the FIFA series which introduces Hypermotion Technology and Xsens suits to capture the traits of real world footballers and render them into the game.,FIFA 22 is an association football simulation video game published by Electronic Arts as part of the FIFA series.,0,
Lenore Zann,2021-09-02T18:32:01Z,2021-09-25T19:49:45Z,Lenore Zann MP (born 1959) is a Canadian actress and politician who has served as the Member of Parliament (MP) for the riding of Cumberland—Colchester in the House of Commons of Canada as a member of the Liberal Party since 2019.,Lenore Zann is a Canadian actress and former politician who has served as the Member of Parliament (MP) for the riding of Cumberland—Colchester in the House of Commons of Canada as a member of the Liberal Party.,0,
Rosa 'Captain Samuel Holland',2021-09-27T19:20:23Z,2021-10-01T21:00:22Z,"Rosa 'Captain Samuel Holland' is a medium red, Hybrid Kordesii, shrub rose, bred by Canadian rose breeder, Felicitas Svejda in 1981.","Rosa 'Captain Samuel Holland' is a medium red, Hybrid Kordesii, shrub rose, bred by Canadian rose breeder, Felicitas Svejda in 1981.",0,
François Florent,2021-09-28T02:20:45Z,2021-09-30T21:19:53Z,François Florent was a French theater actor and the founder of the Cours Florent.,"François Florent, stage name of François Eichholtzer, was a French theater actor and founder of the eponymous drama school Cours Florent.",0,
Friction,2021-09-01T20:13:36Z,2021-09-01T21:16:09Z,"Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other.","Friction is the force resisting the relative motion of solid surfaces, fluid layers, and material elements sliding against each other.",0,
Vinnie Dombroski,2021-09-08T17:28:02Z,2021-10-01T02:44:44Z,"Mark ""Vinnie"" Dombroski is an American musician best known as the lead vocalist and main songwriter for the American rock band Sponge, and is described as having a ""versatile blend of classic hard rock and punchy alt-pop with a thin metal veneer"".","Mark ""Vinnie"" Dombroski (born December 4, 1962) is an American musician, best known as the lead vocalist and main songwriter for the American rock band Sponge.",0,
Ileana D'Cruz,2021-09-02T15:13:29Z,2021-09-26T07:38:15Z,Ileana D'Cruz is an Indian-born Portuguese actress and model who predominantly appears in Telugu and Hindi language films.,Ileana D'Cruz is an Indian-born Portuguese actress and model who predominantly appears in Telugu and Hindi language films.,0,
Ryan Lee (actor),2021-09-27T11:22:35Z,2021-09-27T19:26:06Z,"Ryan Scott Lee (born October 4, 1996) is an American actor best known for his role as Warren in the show Trophy Wife and as Cary in the 2011 film Super 8.",Ryan Scott Lee is an American actor best known for his role as Warren in the show Trophy Wife and as Cary in the 2011 film Super 8.,0,
Kosovo Specialist Chambers,2021-09-15T23:35:32Z,2021-09-16T02:05:02Z,"The Kosovo Specialist Chambers and Specialist Prosecutor's Office (KSC & SPO) is a court of Kosovo, located in The Hague (Netherlands), hosting four Specialist Chambers and the Specialist Prosecutors Office, which may perform their activities either at the KRSJI or in Kosovo, set up for delegating the trials of the crimes committed by members of the Kosovo Liberation Army (KLA) during the 1990s.","The Kosovo Specialist Chambers and Specialist Prosecutor's Office (KSC & SPO) is a court of Kosovo, located in The Hague (Netherlands), hosting four Specialist Chambers and the Specialist Prosecutors Office, which may perform their activities either at the KRSJI or in Kosovo and is currently set up for delegating the trials of the crimes committed by members of the Kosovo Liberation Army (KLA).",0,
Bertha Chatto St George Smith,2021-09-08T16:13:24Z,2021-09-09T07:16:28Z,Bertha Chatto St. George Smith OBE was an Australian author and philanthropist who was appointed an Officer of the British Empire in 1964 in recognition of her work as national president of the Country Women's Association of Australia.,Bertha Chatto St. George Smith OBE was an Australian author and philanthropist who was appointed an Officer of the British Empire in 1964 in recognition of her work as national president of the Country Women's Association of Australia.,0,
Gudrun Kadereit,2021-09-22T09:58:55Z,2021-09-28T01:45:43Z,"Gudrun Kadereit (born 1969) is a German botanist, the Princess Therese von Bayern Chair of Systematics, Biodiversity and Evolution of Plants at the Ludwig Maximilians University of Munich and the director of both the Botanical Garden Munich-Nymphenburg and the Botanical State Collection Munich.","Gudrun Kadereit (born 1969) is a German botanist, the Princess Therese von Bayern Chair of Systematics, Biodiversity and Evolution of Plants at the Ludwig Maximilians University of Munich and the director of both the Botanical Garden Munich-Nymphenburg and the Botanical State Collection Munich.",0,
RTCM SC-104,2021-09-02T12:33:29Z,2021-09-20T08:29:19Z,"RTCM SC-104, or often simply the RTCM standard, is a communication protocol for sending differential GPS (DGPS) to a GPS receiver from a secondary source.","RTCM SC-104, or often simply the RTCM standard, is a communication protocol for sending differential GPS (DGPS) to a GPS receiver from a secondary source.",0,
Voivodeship administrative court,2021-09-24T22:39:49Z,2021-09-24T22:41:13Z,Administrative voivodeship court is the first instance administrative court in Poland.,Voivodeship administrative court is the first instance administrative court in Poland.,0,
Melvin Van Peebles,2021-09-22T21:02:59Z,2021-09-28T20:50:05Z,"Melvin Van Peebles is an American actor, filmmaker, playwright, novelist and composer most well known for creating and starring in the film Sweet Sweetback's Baadasssss Song.","Melvin Van Peebles was an American actor, filmmaker, playwright, novelist, and composer who worked as an active filmmaker into the 2000s.",1,
Kurt Cobain,2021-09-05T18:35:08Z,2021-10-01T17:18:34Z,"Kurt Donald Cobain was an American musician who was the frontman of the rock band Nirvana, serving as the band's guitarist, lead vocalist, and primary songwriter.","Kurt Donald Cobain was an American singer, songwriter, and musician who was the frontman of the rock band Nirvana.",0,
Yorke Almshouses,2021-09-06T08:35:04Z,2021-09-14T20:15:03Z,"The Yorke Almshouses, Nos 14-17 Church Row, Forthampton, Gloucestershire, England, is a range of four almshouses designed by the architect William Burges in 1865.","The Yorke Almshouses, Nos. 14–17 Church Row, Forthampton, Gloucestershire, England, are a range of four almshouses designed by the architect William Burges in 1865.",0,
Emil Zschimmer,2021-10-01T08:22:19Z,2021-10-01T08:50:57Z,"Emil Zschimmer (14 September 1842, Bad Schmiedeberg - 23 January 1917, Bad Schmiedeberg) was a German painter and art teacher.","Emil Zschimmer (14 September 1842, Bad Schmiedeberg - 23 January 1917, Bad Schmiedeberg) was a German painter and art teacher.",0,
Sierra Fría,2021-09-06T17:58:01Z,2021-09-25T20:55:01Z,The Sierra Fría is a mountain range in western Mexico.,"The Sierra Fría is a mountain range in central Mexico which forms the northwestern border of Aguascalientes state and extends into adjacent Zacatecas, west of the city of Aguascalientes, and is the southeasternmost range of the Sierra Madre Occidental.",1,
Empress Sunjeonghyo,2021-09-01T00:58:24Z,2021-09-26T05:45:51Z,"Empress Sunjeong was the second wife and Empress Consort of Emperor Yunghui, the last emperor of the Joseon Dynasty and Korea.","Empress Sunjeonghyo (Hangul: 순정효황후, Hanja: 純貞孝皇后) was the second wife and Empress Consort of Emperor Yunghui, the last emperor of the Korean Empire.",0,
Pee Wee Ellis,2021-09-24T16:22:42Z,2021-09-30T19:58:09Z,"Alfred ""Pee Wee"" Ellis (Alfred James Ellis, born April 21, 1941, died September 23, 2021) is an American saxophonist, composer and arranger.","Alfred James Ellis (April 21, 1941 – September 23, 2021) was an American saxophonist, composer, and arranger who co-wrote hits like ""Cold Sweat"" and ""Say It Loud – I'm Black and I'm Proud"" and worked with Van Morrison.",0,
Queen Ansun,2021-09-10T21:07:15Z,2021-09-29T18:55:34Z,"Queen Ansun (18 April 1445 – 3 February 1499) was the wife of King Yejong, the 8th Joseon monarch, and was honoured as Queen Dowager Inhye and later as Grand Queen Dowager Myeongui.","Queen Ansun (18 April 1445 – 3 February 1499) was the wife of King Yejong, the 8th Joseon monarch, and was honoured as Queen Dowager Inhye and Grand Queen Dowager Inhye after her husband's death in 1469.",0,
Leadership Council of Afghanistan,2021-09-04T10:53:42Z,2021-09-24T08:35:37Z,"The Quetta Shura was a militant organization composed of the leaders of the Afghan Taliban, believed to be based in the city of Quetta in the Balochistan province of Pakistan since about 2001.","The Quetta Shura or Council of Leaders (Rabbari Shura) was a body of Afghan Taliban leaders that was formed in May 2002 and was based in the city of Quetta, in the Balochistan province of Pakistan.",0,
Architects (British band),2021-09-03T00:35:15Z,2021-09-30T06:59:39Z,"Architects are a British metalcore band from Brighton, East Sussex, formed in 2004 by twin brothers Dan and Tom Searle.","Architects are a British metalcore band from Brighton, East Sussex, formed in 2004 by twin brothers Dan and Tom Searle.",0,
The Passion of the Christ,2021-09-01T09:51:27Z,2021-10-01T19:46:07Z,"The Passion of the Christ is a 2004 American biblical drama film produced, co-written and directed by Mel Gibson and starring Jim Caviezel as Jesus of Nazareth, Maia Morgenstern as the Virgin Mary, and Monica Bellucci as Mary Magdalene.","The Passion of the Christ is a 2004 American biblical drama film produced, co-written and directed by Mel Gibson and starring Jim Caviezel as Jesus of Nazareth, Maia Morgenstern as the Virgin Mary, and Monica Bellucci as Mary Magdalene.",0,
Amy Ray,2021-09-16T20:20:35Z,2021-09-17T12:00:24Z,Amy Elizabeth Ray is an American singer-songwriter and member of the contemporary folk duo Indigo Girls.,Amy Elizabeth Ray is an American singer-songwriter and member of the contemporary folk duo Indigo Girls.,0,
Queen Munjeong,2021-09-20T02:49:27Z,2021-09-26T18:45:20Z,Queen Munjeong was Queen consort of Joseon from 1517 until her husband's death in 1544 and was honored as Queen Dowager Seongryeol and Grand Queen Dowager Seongryeol during the reigns of her step-son and son respectively.,Queen Munjeong was Queen consort of Joseon from 1517 until her husband's death in 1544.,0,
Belgian Grand Prix,2021-09-03T20:41:16Z,2021-09-14T19:11:56Z,The Belgian Grand Prix is a motor racing event which forms part of the Formula One World Championship.,The Belgian Grand Prix is a motor racing event which forms part of the Formula One World Championship.,0,
Ria De Simone,2021-09-12T19:02:36Z,2021-09-12T19:02:57Z,"Anna Maria ""Ria"" De Simone (June 6, 1947 – November 10, 1995) was an Italian actress and singer.","Anna Maria ""Ria"" De Simone (June 6, 1947 – November 10, 1995) was an Italian actress and singer.",0,
Charles C. Pixley,2021-09-05T19:19:11Z,2021-09-14T17:08:52Z,"Charles Calvin Pixley was the 34th Surgeon General of the United States Army, serving from October 1, 1977 to September 20, 1981.","Charles Calvin Pixley was the 34th Surgeon General of the United States Army, serving in that capacity from October 1, 1977 to September 20, 1981.",0,
Password,2021-09-02T14:32:49Z,2021-09-28T13:29:28Z,"A password, sometimes called a passcode, is secret data, typically a string of characters, usually used to confirm a user's identity.","A password, sometimes called a passcode, is secret data, typically a string of characters, usually used to confirm a user's identity.",0,
The Addams Family,2021-09-02T08:55:05Z,2021-10-01T22:26:12Z,The Addams Family is a fictional household created by American cartoonist Charles Addams in 1938.,The Addams Family is a fictional household created by American cartoonist Charles Addams in 1938.,0,
Bruce Fleisher,2021-09-02T19:37:43Z,2021-09-24T22:13:15Z,Bruce Lee Fleisher is an American professional golfer.,"Bruce Lee Fleisher (October 16, 1948 – September 23, 2021) was an American professional golfer.",1,
"San Jose, California",2021-09-05T17:59:29Z,2021-09-27T08:58:02Z,"San Jose is the cultural, financial, and political center of Silicon Valley, and the largest city in Northern California by both population and area.","San Jose, officially San José, is the largest city in Northern California by both population and area.",0,
Cedric Mansare,2021-09-04T09:42:43Z,2021-09-04T20:36:47Z,Cedric Mansare is a French-Guinean basketball player who plays for Union Dax Gamarde and Guinea.,"Cedric Mansare is a French-Guinean basketball player who plays for Union Dax Gamarde and Guinea, standing at 1.95 m (6 ft 5 in) and playing as shooting guard or small forward.",1,
Healing,2021-09-07T21:39:50Z,2021-09-12T19:27:57Z,"Healing involves the repair of living tissue(s), organs and the biological system as a whole and resumption of (normal) functioning.","With physical damage or disease suffered by an organism, healing involves the repair of living tissue(s), organs and the biological system as a whole and resumption of (normal) functioning.",0,
María Josefa Zapata,2021-09-16T23:27:05Z,2021-09-16T23:31:54Z,"Maria Josefa Zapata (1822 - 1870) was a Spanish printer, publisher, journalist and socialist feminist, known for her engagement in women's and workers' rights.","María Josefa Zapata (1822 – 1870) was a Spanish printer and publisher, known as a pioneer Spanish socialist feminist engaged in women's rights and workers rights.",0,
Taleeb Noormohamed,2021-09-23T06:32:11Z,2021-09-27T23:27:28Z,Taleeb Noormohamed is a Canadian politician who was elected to the House of Commons of Canada in the 2021 federal election.,Taleeb Noormohamed is a Canadian politician who was elected to the House of Commons of Canada in the 2021 federal election and represents the electoral riding of Vancouver Granville as a member of the Liberal Party of Canada.,1,
British Columbia Highway 1,2021-09-13T21:52:45Z,2021-09-29T06:09:24Z,"Highway 1Highway 1 is the main route of the Trans-Canada Highway (TCH) through British Columbia, Canada.","Highway 1 is the main route of the Trans-Canada Highway (TCH) through British Columbia, Canada.",0,
Rosine de Chabaud-Latour,2021-09-17T08:33:13Z,2021-09-17T09:15:46Z,Suzanne Rosette de Chabaud-Latour was a French religious thinker and translator who was important to the development of protestant religious thinking in France during the Réveil.,Suzanne Rosette de Chabaud-Latour was a French religious thinker and translator who was important to the development of protestant religious thinking in France during the Réveil.,0,
William Pitt the Younger,2021-09-01T20:03:31Z,2021-09-30T07:05:05Z,William Pitt the Younger (28 May 1759 – 23 January 1806) was a prominent British Tory statesman of the late eighteenth and early nineteenth centuries.,William Pitt the Younger (28 May 1759 – 23 January 1806) was a prominent British Tory statesman of the late eighteenth and early nineteenth centuries.,0,
Paddington 2,2021-09-04T00:54:19Z,2021-09-26T19:55:51Z,Paddington 2 is a 2017 live-action animated comedy film directed by Paul King and written by King and Simon Farnaby.,Paddington 2 is a 2017 live-action animated comedy film directed by Paul King and written by King and Simon Farnaby.,0,
María del Carmen Rovira Gaspar,2021-09-21T18:18:44Z,2021-09-27T15:16:27Z,"María del Carmen Rovira Gaspar was a Spanish historian, researcher and academic.","María del Carmen Rovira Gaspar (1923 – 19 September 2021) was a Spanish historian, researcher and academic.",0,
Dieter Kolb,2021-09-10T05:39:47Z,2021-09-30T21:58:50Z,"Dieter Kolb (born c. 1967) is a German curler, curling coach and sport manager.","Dieter Kolb is a German curler, curling coach and sport manager.",0,
Joe Jackson (musician),2021-09-16T14:19:30Z,2021-09-17T14:08:37Z,"David Ian ""Joe"" Jackson is an English musician and singer-songwriter.","David Ian ""Joe"" Jackson is an English musician and singer-songwriter.",0,
Ballynoe stone circle,2021-09-08T20:04:32Z,2021-09-09T13:23:53Z,"Stone circles are circular arrangements of standing stones, dating from the late Neolithic era through the Early Bronze Age.","Stone circles are circular arrangements of standing stones, dating from the late Neolithic era through the Early Bronze Age.",0,
Catherine of Alexandria,2021-09-03T06:29:35Z,2021-09-28T23:07:01Z,"Catherine of Alexandria, or Katherine of Alexandria, also known as Saint Catherine of Alexandria, Saint Catherine of the Wheel and The Great Martyr Saint Catherine (Coptic: Ϯⲁⲅⲓⲁ Ⲕⲁⲧⲧⲣⲓⲛ; Greek: ἡ Ἁγία Αἰκατερίνη ἡ Μεγαλομάρτυς ""Holy Catherine the Great Martyr""; Latin: Catharina Alexandrina), is, according to tradition, a Christian saint and virgin, who was martyred in the early 4th century at the hands of the emperor Maxentius.","Catherine of Alexandria, or Katherine of Alexandria, also known as Saint Catherine of Alexandria, Saint Catherine of the Wheel and The Great Martyr Saint Catherine, is, according to tradition, a Christian saint and virgin who was martyred in the early 4th century.",0,
Rita Kersting,2021-09-13T00:57:24Z,2021-09-24T12:36:07Z,Rita Kersting (born 1969) is a German art historian and curator.,Rita Kersting (born 1969) is a German art historian and curator.,0,
Djohari Kahar,2021-09-14T03:26:21Z,2021-09-16T19:10:47Z,Djohari Kahar was an Indonesian politician and lecturer.,Djohari Kahar was an Indonesian politician and lecturer.,0,
